"BehaviorSpace results (NetLogo 5.0.2)"
"wsn_simulacion.nlogo"
"sweeping sources and buffer"
"07/12/2013 15:27:18:437 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-16","16"
"[run number]","buffer-length","number-of-sources","[step]","packets-sent-total","total-received-packets","total-congestion-losses","total-goodput","total-goodput-losses"
"1","1","1","150126","9375","9375","0","9375","0"
"2","1","2","356674","18750","9769","8981","9769","0"
"3","1","3","483374","28125","28010","115","28010","0"
"4","1","4","516066","35569","28803","6766","28803","0"
"5","1","5","667104","41711","37120","4591","37120","0"
"6","1","6","836098","55004","29144","25860","29144","0"
"7","1","7","950404","65588","36056","29532","36056","0"
"8","1","8","982966","70891","31604","39287","31604","0"
"9","1","9","1089236","84375","36104","48271","36104","0"
"10","1","10","1311990","90714","27620","63094","27620","0"
"12","1","12","1430678","102299","43173","59126","43173","0"
"11","1","11","1525146","103068","31951","71117","31951","0"
"13","1","13","1384534","116344","31661","84683","31661","0"
"14","1","14","1636650","111205","38243","72962","38243","0"
"16","1","16","1772624","137983","39097","98886","39097","0"
"15","1","15","1911484","138508","27261","111247","27261","0"
"18","1","18","1843680","153484","33499","119985","33499","0"
"17","1","17","1792088","151419","31600","119819","31600","0"
"19","1","19","2159028","171359","35916","135443","35916","0"
"20","1","20","2141014","181078","40563","140515","40563","0"
"21","1","21","2193050","187124","36578","150546","36578","0"
"22","1","22","2374878","170351","43526","126825","43526","0"
"24","1","24","2327234","196671","38694","157977","38694","0"
"23","1","23","2494852","197647","45732","151915","45732","0"
"31","2","1","150126","9375","9375","0","9375","0"
"32","2","2","357320","18750","9769","8981","9769","0"
"33","2","3","483232","28125","28070","55","28070","0"
"25","1","25","2336914","213909","33405","180504","33405","0"
"34","2","4","516982","35513","29110","6403","29110","0"
"27","1","27","2099592","198972","40283","158689","40283","0"
"35","2","5","667872","41745","37407","4338","37407","0"
"36","2","6","837404","55007","29273","25734","29273","0"
"26","1","26","2614896","206218","32564","173654","32564","0"
"37","2","7","951748","65612","35937","29675","35937","0"
"28","1","28","2578500","232160","38896","193264","38896","0"
"38","2","8","986628","70993","31673","39320","31673","0"
"29","1","29","2671682","242546","39105","203441","39105","0"
"39","2","9","1091756","84375","36511","47864","36511","0"
"40","2","10","1315476","90678","27842","62836","27842","0"
"30","1","30","2889708","245461","37925","207536","37925","0"
"43","2","13","1387234","116341","31725","84616","31725","0"
"42","2","12","1432770","102371","43513","58858","43513","0"
"41","2","11","1532906","103114","32182","70932","32182","0"
"44","2","14","1644568","111659","38656","73003","38656","0"
"45","2","15","1917872","138409","28019","110390","28019","0"
"46","2","16","1774340","138077","39111","98966","39111","0"
"47","2","17","1798532","151440","31863","119577","31863","0"
"48","2","18","1846948","152789","33537","119252","33537","0"
"50","2","20","2146994","181042","40570","140472","40570","0"
"49","2","19","2162854","171253","36076","135177","36076","0"
"52","2","22","2384478","170320","44071","126249","44071","0"
"51","2","21","2194650","187046","36412","150634","36412","0"
"54","2","24","2338844","196673","39083","157590","39083","0"
"53","2","23","2502298","197748","45857","151891","44463","1394"
"61","4","1","150126","9375","9375","0","9375","0"
"62","4","2","357728","18750","9772","8978","9772","0"
"55","2","25","2341012","211680","33389","178291","33386","3"
"63","4","3","483414","28125","28115","10","28115","0"
"64","4","4","518914","35607","29461","6146","29461","0"
"57","2","27","2101812","199637","40592","159045","40592","0"
"65","4","5","668210","41701","37499","4202","37499","0"
"56","2","26","2628036","205741","32944","172797","32911","33"
"66","4","6","838308","54982","29330","25652","29330","0"
"58","2","28","2583796","234513","39084","195429","39084","0"
"67","4","7","952848","65623","35937","29686","35937","0"
"68","4","8","986806","70746","31573","39173","30270","1303"
"69","4","9","1094182","84375","36581","47794","36581","0"
"70","4","10","1316538","90611","27866","62745","27866","0"
"59","2","29","2683384","240693","39133","201560","39133","0"
"71","4","11","1535662","103125","32299","70826","32177","122"
"73","4","13","1387784","116474","31657","84817","26801","4856"
"72","4","12","1436166","102279","43876","58403","42893","983"
"60","2","30","2903356","240751","38317","202434","38259","58"
"74","4","14","1650950","111696","39050","72646","29386","9664"
"75","4","15","1924918","138437","28638","109799","22231","6407"
"76","4","16","1776574","138029","39138","98891","38041","1097"
"77","4","17","1801846","151452","32133","119319","26046","6087"
"78","4","18","1849030","153048","33636","119412","33589","47"
"80","4","20","2150334","181210","40698","140512","36813","3885"
"79","4","19","2169480","171338","36120","135218","28392","7728"
"82","4","22","2389640","171233","44274","126959","42325","1949"
"81","4","21","2198122","186914","36570","150344","33117","3453"
"84","4","24","2347380","195023","39151","155872","31763","7388"
"91","8","1","150126","9375","9375","0","9375","0"
"83","4","23","2508280","197807","45886","151921","42113","3773"
"85","4","25","2344264","211609","33407","178202","31960","1447"
"92","8","2","357716","18750","9776","8974","9776","0"
"93","8","3","483850","28125","28124","1","28124","0"
"94","8","4","519146","35676","29484","6192","29484","0"
"87","4","27","2104028","200114","40815","159299","39495","1320"
"86","4","26","2636240","205248","33312","171936","30669","2643"
"95","8","5","668346","41727","37442","4285","37200","242"
"96","8","6","838554","54951","29353","25598","27776","1577"
"88","4","28","2590454","233884","39182","194702","33901","5281"
"97","8","7","954206","65625","35947","29678","32555","3392"
"98","8","8","988182","70959","31616","39343","21656","9960"
"99","8","9","1095526","84375","36867","47508","29791","7076"
"100","8","10","1317392","90703","27961","62742","17930","10031"
"89","4","29","2689102","240909","39179","201730","38029","1150"
"101","8","11","1540208","103125","32464","70661","27359","5105"
"103","8","13","1389456","116488","31705","84783","21923","9782"
"102","8","12","1436838","102376","44014","58362","36740","7274"
"90","4","30","2915436","241356","38593","202763","36998","1595"
