"export-plots data (NetLogo 5.0.2)"
"wsn_simulacion.nlogo"
"04/07/2013 23:25:09:127 -0500"

"MODEL SETTINGS"
"potencia-de-transmision","frecuencia-de-transmision","transmission-rate","active-sources","average-coverage","number-of-nodes","temperatura","tolerated-delay","arraival-rate","average-degree-of-connectivity","packet-generator","tolerated-error-bit","efectos-inalambricos","number-of-sources","packet-lenght","buffer-length","energia-por-transmision"
"-30","2480","2048","false","15.5","176","30","5","5","3","""pdf-poisson""","8","false","7","256","4","0.25"

"""Received Packets"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","67.5","0","23.1","true","""on time""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""on time""","true","0","1","65","56"
"""out time""","true","0","1","15","56"

"""on time""",,,,"""out time"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","15","true"
"1","3","65","true","1","0","15","true"
"2","13","65","true","2","0","15","true"
"3","17","65","true","3","0","15","true"
"4","16","65","true","4","0","15","true"
"5","14","65","true","5","0","15","true"
"6","19","65","true","6","0","15","true"
"7","16","65","true","7","0","15","true"
"8","17","65","true","8","0","15","true"
"9","17","65","true","9","0","15","true"
"10","15","65","true","10","0","15","true"
"11","17","65","true","11","0","15","true"
"12","16","65","true","12","0","15","true"
"13","18","65","true","13","0","15","true"
"14","12","65","true","14","0","15","true"
"15","18","65","true","15","0","15","true"
"16","17","65","true","16","0","15","true"
"17","18","65","true","17","0","15","true"
"18","19","65","true","18","0","15","true"
"19","18","65","true","19","0","15","true"
"20","18","65","true","20","0","15","true"
"21","18","65","true","21","0","15","true"
"22","21","65","true","22","0","15","true"
"23","18","65","true","23","0","15","true"
"24","19","65","true","24","0","15","true"
"25","19","65","true","25","0","15","true"
"26","17","65","true","26","0","15","true"
"27","21","65","true","27","0","15","true"
"28","20","65","true","28","0","15","true"
"29","17","65","true","29","0","15","true"
"30","15","65","true","30","0","15","true"
"31","17","65","true","31","0","15","true"
"32","16","65","true","32","0","15","true"
"33","20","65","true","33","0","15","true"
"34","15","65","true","34","0","15","true"
"35","22","65","true","35","0","15","true"
"36","16","65","true","36","0","15","true"
"37","19","65","true","37","0","15","true"
"38","16","65","true","38","0","15","true"
"39","20","65","true","39","0","15","true"
"40","18","65","true","40","0","15","true"
"41","21","65","true","41","0","15","true"
"42","16","65","true","42","0","15","true"
"43","17","65","true","43","0","15","true"
"44","19","65","true","44","0","15","true"
"45","16","65","true","45","0","15","true"
"46","15","65","true","46","0","15","true"
"47","16","65","true","47","0","15","true"
"48","20","65","true","48","0","15","true"
"49","15","65","true","49","0","15","true"
"50","17","65","true","50","0","15","true"
"51","17","65","true","51","0","15","true"
"52","9","65","true","52","0","15","true"
"53","7","65","true","53","0","15","true"
"54","7","65","true","54","0","15","true"
"55","12","65","true","55","0","15","true"
"56","4","65","true","56","0","15","true"

"""Lost Packets"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","67.5","0","19.8","true","""due to congestion""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""due to congestion""","true","0","1","125","56"
"""due to routing""","true","0","1","25","56"

"""due to congestion""",,,,"""due to routing"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","125","true","0","0","25","true"
"1","0","125","true","1","0","25","true"
"2","1","125","true","2","0","25","true"
"3","2","125","true","3","0","25","true"
"4","3","125","true","4","0","25","true"
"5","4","125","true","5","0","25","true"
"6","6","125","true","6","0","25","true"
"7","6","125","true","7","0","25","true"
"8","8","125","true","8","0","25","true"
"9","4","125","true","9","0","25","true"
"10","4","125","true","10","0","25","true"
"11","3","125","true","11","0","25","true"
"12","1","125","true","12","0","25","true"
"13","1","125","true","13","0","25","true"
"14","3","125","true","14","0","25","true"
"15","2","125","true","15","0","25","true"
"16","3","125","true","16","0","25","true"
"17","1","125","true","17","0","25","true"
"18","0","125","true","18","0","25","true"
"19","4","125","true","19","0","25","true"
"20","4","125","true","20","0","25","true"
"21","5","125","true","21","0","25","true"
"22","5","125","true","22","0","25","true"
"23","3","125","true","23","0","25","true"
"24","9","125","true","24","0","25","true"
"25","6","125","true","25","0","25","true"
"26","3","125","true","26","0","25","true"
"27","2","125","true","27","0","25","true"
"28","4","125","true","28","0","25","true"
"29","6","125","true","29","0","25","true"
"30","7","125","true","30","0","25","true"
"31","4","125","true","31","0","25","true"
"32","4","125","true","32","0","25","true"
"33","9","125","true","33","0","25","true"
"34","5","125","true","34","0","25","true"
"35","3","125","true","35","0","25","true"
"36","3","125","true","36","0","25","true"
"37","5","125","true","37","0","25","true"
"38","3","125","true","38","0","25","true"
"39","3","125","true","39","0","25","true"
"40","2","125","true","40","0","25","true"
"41","6","125","true","41","0","25","true"
"42","4","125","true","42","0","25","true"
"43","1","125","true","43","0","25","true"
"44","0","125","true","44","0","25","true"
"45","5","125","true","45","0","25","true"
"46","5","125","true","46","0","25","true"
"47","4","125","true","47","0","25","true"
"48","8","125","true","48","0","25","true"
"49","6","125","true","49","0","25","true"
"50","3","125","true","50","0","25","true"
"51","0","125","true","51","18","25","true"
"52","0","125","true","52","9","25","true"
"53","0","125","true","53","10","25","true"
"54","0","125","true","54","11","25","true"
"55","0","125","true","55","4","25","true"
"56","0","125","true","56","0","25","true"

"""Sent and Received Packets"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","67.5","0","30.8","true","""received""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""received""","true","1","1","65","56"
"""sent""","true","0","1","95","56"

"""received""",,,,"""sent"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","65","true","0","0","95","true"
"1","3","65","true","1","21","95","true"
"2","13","65","true","2","19","95","true"
"3","17","65","true","3","17","95","true"
"4","16","65","true","4","22","95","true"
"5","14","65","true","5","22","95","true"
"6","19","65","true","6","28","95","true"
"7","16","65","true","7","23","95","true"
"8","17","65","true","8","26","95","true"
"9","17","65","true","9","16","95","true"
"10","15","65","true","10","22","95","true"
"11","17","65","true","11","18","95","true"
"12","16","65","true","12","18","95","true"
"13","18","65","true","13","16","95","true"
"14","12","65","true","14","21","95","true"
"15","18","65","true","15","19","95","true"
"16","17","65","true","16","22","95","true"
"17","18","65","true","17","19","95","true"
"18","19","65","true","18","24","95","true"
"19","18","65","true","19","22","95","true"
"20","18","65","true","20","22","95","true"
"21","18","65","true","21","25","95","true"
"22","21","65","true","22","23","95","true"
"23","18","65","true","23","27","95","true"
"24","19","65","true","24","26","95","true"
"25","19","65","true","25","24","95","true"
"26","17","65","true","26","25","95","true"
"27","21","65","true","27","21","95","true"
"28","20","65","true","28","19","95","true"
"29","17","65","true","29","21","95","true"
"30","15","65","true","30","20","95","true"
"31","17","65","true","31","22","95","true"
"32","16","65","true","32","25","95","true"
"33","20","65","true","33","24","95","true"
"34","15","65","true","34","26","95","true"
"35","22","65","true","35","21","95","true"
"36","16","65","true","36","24","95","true"
"37","19","65","true","37","23","95","true"
"38","16","65","true","38","21","95","true"
"39","20","65","true","39","20","95","true"
"40","18","65","true","40","25","95","true"
"41","21","65","true","41","21","95","true"
"42","16","65","true","42","22","95","true"
"43","17","65","true","43","19","95","true"
"44","19","65","true","44","15","95","true"
"45","16","65","true","45","22","95","true"
"46","15","65","true","46","25","95","true"
"47","16","65","true","47","23","95","true"
"48","20","65","true","48","26","95","true"
"49","15","65","true","49","17","95","true"
"50","17","65","true","50","19","95","true"
"51","17","65","true","51","20","95","true"
"52","9","65","true","52","19","95","true"
"53","7","65","true","53","17","95","true"
"54","7","65","true","54","24","95","true"
"55","12","65","true","55","2","95","true"
"56","4","65","true","56","0","95","true"

